datetime,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean_electric
2020-12-01,23464.1,2707.8,13513.7,18872.05,22418.15,15555.6,26957.4,8936.8,23581.35,14386.25,33317.05,16975.05,18390.441666666666
2020-12-02,36420.85,16007.050000000001,12916.85,19640.95,56093.55,24462.15,32462.15,16168.95,42717.4,30364.85,37076.45,21498.75,28819.1625
2020-12-03,32563.6,7484.5,13087.75,24998.5,51346.3,23836.35,48496.75,12368.55,41125.8,25221.95,40304.9,17680.85,28209.65
2020-12-04,28281.3,9111.95,11154.45,24865.85,36055.95,19549.3,54527.45,12470.2,29775.15,25984.55,31388.6,21138.65,25358.616666666665
2020-12-05,21275.55,12766.55,17957.05,25895.0,35314.7,42248.95,50634.15,14504.85,47359.3,28940.1,33683.2,17235.2,28984.55
2020-12-06,25996.15,19156.5,13089.0,46918.3,39740.25,30687.85,62303.55,14381.783333333333,49813.8,26458.2,29846.6,20444.0,31569.665277777778
2020-12-07,27939.75,6449.6,28480.35,40584.45,53893.55,29087.3,45028.55,22730.9,39623.7,26187.95,27747.55,16637.85,30365.958333333332
2020-12-08,29963.75,11737.05,14347.6,31103.4,32471.85,22891.8,50127.4,11671.4,37642.85,27184.149999999998,42823.2,20079.85,27670.358333333334
2020-12-09,27696.149999999998,16683.55,9511.5,26601.3,44251.65,22677.0,72408.95,12535.7,40784.0,23451.2,39536.15,20791.9,29744.0875
2020-12-10,24308.65,6828.35,12475.65,37179.4,48794.3,24303.4,75813.65,12335.05,48713.0,32371.65,30254.55,26188.15,31630.483333333334
2020-12-11,29511.35,15006.15,16312.2,40376.7,48594.6,21832.1,69384.05,13306.2,38579.916666666664,30070.45,36964.95,19142.6,31590.105555555554
2020-12-12,31130.65,23044.05,10020.3,42042.45,42619.5,21651.35,66360.7,14015.1,52929.6,26641.55,41177.25,18996.05,32552.379166666666
2020-12-13,37240.1,18881.95,12587.35,39102.15,49430.35,67597.1,55409.1,12897.55,44879.95,30948.45,37032.05,24208.6,35851.225
2020-12-14,38548.7,8869.15,17969.45,35001.45,38994.15,22222.65,51626.05,16599.65,44767.1,27381.8,45315.05,18070.2,30447.116666666665
2020-12-15,39983.6,7021.65,12917.95,30074.15,47482.75,22600.55,46746.9,10025.95,41613.65,25248.25,42140.0,20819.05,28889.5375
2020-12-16,39749.45,11490.8,8861.0,29016.0,50851.25,27727.5,43256.65,13453.8,49766.95,33922.4,56658.4,22634.15,32282.3625
2020-12-17,37253.35,14822.3,12551.25,25181.5,56343.05,30303.35,46620.55,12788.6,35501.35,27296.1,30635.95,25089.5,29532.2375
2020-12-18,31839.25,18081.45,13196.2,25749.25,30839.05,25235.35,33202.75,12828.5,31837.9,26137.15,41519.85,16945.15,25617.654166666667
2020-12-19,18087.25,13088.65,13994.35,43525.25,42447.2,23071.65,21117.0,13186.55,58470.35,24146.4,38996.9,19955.75,27507.274999999998
2020-12-20,22773.65,9194.65,12228.5,57809.25,53139.05,32584.5,45642.65,12254.1,45613.15,38608.15,30648.25,15664.1,31346.666666666668
2020-12-21,16833.65,29761.35,12694.65,37244.8,67994.35,37348.9,48578.35,15339.85,34910.95,30351.25,35266.3,23528.25,32487.720833333333
2020-12-22,23351.45,15034.15,10735.6,29528.9,39994.65,32303.35,46660.8,18458.4,52031.65,28660.15,37173.7,18760.65,29391.120833333334
2020-12-23,16030.8,9090.7,10130.3,40409.2,42211.9,17412.2,56914.65,12423.45,72109.85,34108.4,44145.05,25522.9,31709.116666666665
2020-12-24,21441.35,29608.55,19133.4,38566.8,55785.55,15381.2,54317.0,12167.95,31516.9,31781.3,33284.3,18214.1,30099.86666666667
2020-12-25,41973.6,13265.65,16063.5,51183.3,40347.3,16890.45,40698.15,10462.65,29771.9,39302.7,29871.3,24752.6,29548.591666666667
