datetime,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean_electric
2020-12-01,195941.3,73683.95,110199.15,201775.1,294862.45,185427.5,320410.0,101562.03333333334,273996.5,177543.85,233364.35,131610.35,191698.04444444444
2020-12-08,218399.35,101050.25,93224.05,251406.85,305156.4,203175.4,441129.9,93360.65,308296.4166666667,198049.25,273103.2,147477.35,219485.75555555554
2020-12-15,206520.2,103460.85,86443.9,248600.2,349096.7,198871.8,285164.85,89877.35,297714.3,205709.7,275865.65,144635.95,207663.45416666666
2020-12-22,252731.9,93151.45,120617.55,282187.75,333055.85,143568.7,307791.5,89753.6,326800.3,310910.2,252208.75,154148.75,222243.85833333334
2020-12-29,197489.88333333333,120589.3,113059.6,256429.95,336591.95,173736.65,174287.15,111939.7,329343.15,205189.15,211924.6,143796.55,197864.80277777778
2021-01-05,235695.0,124004.15,93798.45,269012.55,346129.0,214213.7,247158.88333333333,106251.5,314426.15,195105.05,282615.8,169576.15,216498.86527777778
2021-01-12,195934.9,151389.2,70810.4,200508.9,286732.85,166845.6,342529.0,101371.9,282224.15,178916.7,273971.95,162639.65,201156.26666666666
2021-01-19,240793.1,89439.35,84995.55,263713.55,283935.51666666666,181857.75,403364.1,93929.9,178951.2,188469.35,297514.9,147673.05,204553.10972222223
2021-01-26,166616.55,79219.35,107090.05,280918.1,332787.1,184268.9,408167.56666666665,85781.15,68509.55,219612.15,276069.8,144538.75,196131.58472222224
2021-02-02,215517.21666666667,80798.3,82795.9,252169.4,330898.95,178264.43333333332,315931.35,105780.8,69361.83333333333,220545.95,384255.05,142863.55,198265.22777777776
2021-02-09,206448.3,80335.75,74085.7,207063.3,326252.95,205962.85,380670.75,93418.43333333333,379494.85,182007.45,412044.35,147691.55,224623.01944444445
2021-02-16,147351.45,82491.45,87146.95,222254.0,302692.3,199120.3,431813.35,97990.45,459066.25,75163.2,403528.3,161296.85,222492.90416666667
2021-02-23,234280.85,74202.9,90235.55,217996.6,340464.3,213406.7,470371.75,106216.3,549869.7,161981.35,242199.1,126013.85,235603.24583333332
2021-03-02,186799.45,122883.65,80596.8,256102.0,352448.9,185906.36666666667,235120.0,96279.9,433809.1,187951.4,270790.95,126964.8,211304.44305555554
2021-03-09,157562.21666666667,120790.55,73546.1,238965.8,341248.43333333335,225651.0,398667.93333333335,60106.4,426520.6666666667,205325.0,273633.75,133857.25,221322.925
2021-03-16,188476.0,95132.35,90065.8,266767.4,369540.7,211716.75,367362.0,37147.4,463890.35,206900.85,298484.95,146361.4,228487.1625
2021-03-23,172480.95,118351.15,73788.15,265093.8,392034.2,192966.9,407200.25,74071.45,512542.5,192341.65,288709.95,150955.5,236711.37083333332
2021-03-30,204473.1,100510.35,71903.4,235332.55,318979.15,185725.65,341979.35,13109.25,365762.45,174939.5,223158.75,131366.1,197269.96666666667
2021-04-06,207921.95,109268.95,94818.25,285722.65,311944.05,189941.7,371888.95,3824.5,478452.15,200798.6,264181.25,145884.25,222053.9375
2021-04-13,221908.45,95653.45,79090.55,190457.5,401349.0,218915.58333333334,465084.1,67177.5,468124.05,189011.95,240420.0,125737.45,230244.13194444444
2021-04-20,186393.6,83171.95,68500.8,226451.75,371355.1,200737.45,309019.35,107587.45,577224.6,174545.7,241578.75,131671.15,223186.47083333333
2021-04-27,212009.45,61742.45,76110.2,184356.55,371683.2,215126.65,267897.9,123210.5,560111.45,185949.8,177439.75,124437.48333333334,213339.61527777778
2021-05-04,230376.0,104510.95,71631.05,223376.65,310887.0,185747.3,316038.3,102002.55,577137.25,183771.7,211503.55,126091.7,220256.16666666666
2021-05-11,194901.2,63589.3,73951.6,198257.45,313262.15,175532.9,306306.75,105307.0,605641.3,162275.6,231776.05,125387.4,213015.725
2021-05-18,138839.05,57738.35,70178.0,233595.7,325142.35,202965.1,217641.25,113057.8,623379.55,79134.3,221024.8,119440.8,200178.0875
2021-05-25,147730.45,57751.75,65042.8,207833.5,348865.65,203247.4,335173.45,124441.6,590971.6333333333,95008.65,257113.7,128944.65,213510.4361111111
2021-06-01,145389.85,43959.75,67672.35,212547.6,300434.9,166145.15,240828.45,93645.75,644042.15,171204.45,173075.8,115065.75,197834.32916666666
2021-06-08,90641.95,27677.55,27524.35,111038.4,164457.1,110944.01666666666,131112.35,54913.75,247109.65,71796.65,107989.35,55391.6,100049.72638888888
