0,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean
2020-12-01 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,296.6,1247.75,278.75,0.0,0.0,0.0,151.92499999999998
2020-12-01 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.25,556.75,0.0,0.0,0.0,150.33333333333334
2020-12-01 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,372.0,1249.4,213.0,0.0,0.0,0.0,152.86666666666667
2020-12-01 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,468.25,0.0,0.0,0.0,143.1875
2020-12-01 12:50:00,0.0,539.75,0.0,0.0,0.0,0.0,394.5,740.75,235.5,0.0,0.0,0.0,159.20833333333334
2020-12-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,417.0,803.0,343.5,0.0,0.0,0.0,130.29166666666666
2020-12-01 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,281.6,0.0,0.0,0.0,69.05
2020-12-01 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,423.5,389.0,224.75,0.0,0.0,0.0,86.4375
2020-12-01 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,414.25,316.75,463.25,0.0,0.0,0.0,99.52083333333333
2020-12-01 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.4,185.6,0.0,0.0,0.0,37.666666666666664
2020-12-01 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,329.2,483.75,220.25,0.0,0.0,0.0,86.10000000000001
2020-12-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,413.0,395.75,226.75,0.0,0.0,0.0,86.29166666666667
2020-12-01 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,32.0
2020-12-01 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,352.4,0.0,231.25,0.0,0.0,0.0,48.637499999999996
2020-12-01 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0.0,229.25,0.0,0.0,0.0,66.4375
2020-12-01 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,553.25,0.0,200.75,0.0,0.0,0.0,62.833333333333336
2020-12-01 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,530.5,0.0,179.2,0.0,0.0,0.0,59.14166666666667
2020-12-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,424.6,0.0,208.5,0.0,0.0,0.0,52.75833333333333
2020-12-01 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,491.75,0.0,386.25,0.0,0.0,0.0,73.16666666666667
2020-12-01 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,206.4,0.0,0.0,0.0,59.53333333333333
2020-12-01 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,365.2,0.0,227.25,0.0,0.0,0.0,49.37083333333334
2020-12-01 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,623.75,0.0,204.75,0.0,0.0,0.0,69.04166666666667
2020-12-01 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,560.25,0.0,171.6,0.0,0.0,0.0,60.987500000000004
2020-12-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,784.2,0.0,212.5,0.0,0.0,0.0,83.05833333333334
2020-12-01 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,357.25,0.0,578.0,0.0,0.0,0.0,77.9375
2020-12-01 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,271.5,0.0,272.25,0.0,0.0,0.0,45.3125
2020-12-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,258.5,0.0,200.0,0.0,0.0,0.0,38.208333333333336
2020-12-01 16:40:00,0.0,531.5,0.0,0.0,0.0,0.0,530.0,0.0,270.0,0.0,0.0,0.0,110.95833333333333
2020-12-01 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,242.0,0.0,0.0,0.0,35.833333333333336
2020-12-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,276.4,0.0,0.0,0.0,60.03333333333333
2020-12-01 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,180.75,0.0,0.0,0.0,62.5625
2020-12-01 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,230.5,0.0,424.25,0.0,0.0,0.0,54.5625
2020-12-01 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,456.25,0.0,300.0,0.0,0.0,0.0,63.020833333333336
2020-12-01 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,491.5,0.0,419.75,0.0,0.0,0.0,75.9375
